asset_id,asset_type,asset_status,laptop_model,manufacturer,assigned_to,assignment_date,operating_system,processor_type,ram_size,storage_size,last_service_date,next_service_due_date,repair_history,end_of_life_date,replacement_recommendation,asset_utilisation_score,incident_count
7FF6Z91E,laptop,assigned,lenovo ideapad,lenovo,1001,2023-02-13,windows 10,intel core i7,32 gb,512 gb ssd,2024-01-17,2024-05-30,minor repairs,2025-05-24,no replacement needed,0.58,8
OJPFK4LY,laptop,assigned,macbook air,apple,1002,2023-05-09,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-01-18,2024-05-27,major repairs,2025-07-08,replace soon,0.88,5
W5V6VGW0,laptop,in repair,hp pavilion,hp,1003,2023-05-13,ubuntu 20.04,intel core i5,8 gb,512 gb ssd,2024-02-01,2024-05-17,minor repairs,2025-03-17,replace soon,0.93,4
3H3C1DQS,laptop,assigned,macbook pro,apple,1004,2023-04-30,macos big sur,amd ryzen 5,32 gb,512 gb ssd,2024-01-13,2024-05-18,major repairs,2025-09-10,replace soon,0.57,4
AASC41BG,laptop,assigned,lenovo ideapad,lenovo,1005,2023-05-03,ubuntu 20.04,intel core i7,8 gb,256 gb ssd,2024-01-06,2024-05-29,minor repairs,2025-11-28,no replacement needed,0.72,9
0SUPA3WT,laptop,retired,dell inspiron,dell,1006,2023-04-20,windows 10,amd ryzen 5,8 gb,1 tb hdd,2024-01-31,2024-05-27,minor repairs,2025-01-15,no replacement needed,0.7,7
4QAVKFKI,laptop,in repair,macbook air,apple,1007,2023-03-03,macos big sur,intel core i5,32 gb,256 gb ssd,2024-01-05,2024-05-18,no repairs,2025-04-08,replace soon,0.76,6
684O8KUB,laptop,retired,macbook air,apple,1008,2023-04-13,windows 10,intel core i5,32 gb,512 gb ssd,2024-01-13,2024-05-03,minor repairs,2025-06-13,replace soon,0.56,1
OBBZD9DQ,laptop,assigned,dell inspiron,dell,1009,2023-02-08,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-22,2024-05-15,no repairs,2025-05-01,no replacement needed,0.67,6
F19ABELK,laptop,in repair,macbook air,apple,1010,2023-02-02,macos big sur,intel core i7,32 gb,512 gb ssd,2024-01-09,2024-05-14,major repairs,2025-12-28,no replacement needed,0.91,3
XRTV48EG,laptop,assigned,macbook air,apple,1011,2023-02-11,windows 10,intel core i7,32 gb,1 tb hdd,2024-01-24,2024-05-20,major repairs,2025-01-06,replace soon,0.64,3
I92OLJV2,laptop,assigned,dell inspiron,dell,1012,2023-04-12,ubuntu 20.04,intel core i7,32 gb,1 tb hdd,2024-01-12,2024-05-18,minor repairs,2025-05-20,no replacement needed,0.84,5
83YKUG27,laptop,retired,lenovo ideapad,lenovo,1013,2023-01-27,macos big sur,amd ryzen 5,16 gb,1 tb hdd,2024-01-02,2024-05-28,no repairs,2025-03-30,replace soon,0.55,1
42BMG5JC,laptop,in repair,hp pavilion,hp,1014,2023-02-18,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-01-12,2024-05-01,no repairs,2025-11-01,replace soon,0.79,0
4T15NIIM,laptop,retired,lenovo ideapad,lenovo,1015,2023-02-11,ubuntu 20.04,amd ryzen 5,16 gb,256 gb ssd,2024-01-25,2024-05-10,major repairs,2025-11-10,no replacement needed,0.63,5
EBV4YXDB,laptop,assigned,macbook pro,apple,1016,2023-02-17,ubuntu 20.04,intel core i5,16 gb,512 gb ssd,2024-01-27,2024-05-24,no repairs,2025-04-11,no replacement needed,0.8,8
17UC66LQ,laptop,assigned,macbook air,apple,1017,2023-03-09,windows 10,amd ryzen 5,8 gb,256 gb ssd,2024-01-07,2024-05-28,no repairs,2025-02-27,replace soon,0.81,5
0MCMMGS1,laptop,retired,lenovo ideapad,lenovo,1018,2023-02-19,windows 10,intel core i7,16 gb,1 tb hdd,2024-01-06,2024-05-22,minor repairs,2025-09-17,no replacement needed,0.65,3
3U4GW81Y,laptop,assigned,dell inspiron,dell,1019,2023-01-26,windows 10,intel core i7,8 gb,512 gb ssd,2024-01-13,2024-05-30,minor repairs,2025-11-06,replace soon,0.63,5
3JGUY7ZS,laptop,retired,lenovo ideapad,lenovo,1020,2023-05-30,windows 10,intel core i5,8 gb,256 gb ssd,2024-01-04,2024-05-19,major repairs,2025-11-12,replace soon,0.91,7
2OTH318E,laptop,assigned,lenovo ideapad,lenovo,1021,2023-03-16,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-01-10,2024-05-14,minor repairs,2025-12-05,replace soon,0.65,0
5QTM2DY8,laptop,in repair,lenovo ideapad,lenovo,1022,2023-04-04,ubuntu 20.04,intel core i7,16 gb,256 gb ssd,2024-01-17,2024-05-21,no repairs,2025-06-05,replace soon,0.59,2
8FGKNMP4,laptop,in repair,lenovo ideapad,lenovo,1023,2023-03-25,ubuntu 20.04,amd ryzen 5,16 gb,1 tb hdd,2024-01-18,2024-05-19,no repairs,2025-07-27,replace soon,0.65,9
7JGTXIBL,laptop,assigned,lenovo ideapad,lenovo,1024,2023-06-01,ubuntu 20.04,amd ryzen 5,8 gb,1 tb hdd,2024-01-22,2024-05-30,major repairs,2025-05-02,replace soon,0.97,3
OELUCHQU,laptop,assigned,macbook pro,apple,1025,2023-02-14,ubuntu 20.04,intel core i5,16 gb,256 gb ssd,2024-01-14,2024-05-26,major repairs,2025-10-10,no replacement needed,0.85,0
QMLINDLX,laptop,in repair,lenovo ideapad,lenovo,1026,2023-04-08,ubuntu 20.04,amd ryzen 5,8 gb,512 gb ssd,2024-01-04,2024-05-11,major repairs,2025-12-01,no replacement needed,0.91,5
Z7440VOL,laptop,assigned,macbook air,apple,1027,2023-02-21,windows 10,intel core i7,16 gb,1 tb hdd,2024-01-13,2024-05-27,minor repairs,2025-05-10,no replacement needed,0.8,2
BCS8YOH6,laptop,assigned,macbook pro,apple,1028,2023-05-11,ubuntu 20.04,intel core i5,32 gb,256 gb ssd,2024-01-20,2024-05-25,major repairs,2025-11-09,replace soon,0.63,9
OFM04QES,laptop,retired,hp pavilion,hp,1029,2023-05-30,macos big sur,intel core i5,8 gb,1 tb hdd,2024-01-26,2024-05-21,major repairs,2025-05-06,replace soon,0.8,9
AIB2G5DU,laptop,retired,lenovo ideapad,lenovo,1030,2023-02-10,ubuntu 20.04,intel core i5,16 gb,256 gb ssd,2024-01-31,2024-05-08,minor repairs,2025-05-20,replace soon,0.91,4
PRJ3NIAD,laptop,retired,dell inspiron,dell,1031,2023-01-15,ubuntu 20.04,intel core i7,32 gb,512 gb ssd,2024-01-28,2024-05-21,minor repairs,2025-09-14,replace soon,0.62,3
631BDAFM,laptop,in repair,macbook pro,apple,1032,2023-04-08,ubuntu 20.04,amd ryzen 5,16 gb,512 gb ssd,2024-01-04,2024-05-24,minor repairs,2025-02-28,no replacement needed,0.61,9
DLUSHGBC,laptop,assigned,dell inspiron,dell,1033,2023-05-16,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-01-21,2024-05-10,major repairs,2025-04-19,no replacement needed,0.98,4
OCW2QP0W,laptop,assigned,lenovo ideapad,lenovo,1034,2023-03-19,macos big sur,amd ryzen 5,32 gb,1 tb hdd,2024-01-23,2024-05-13,no repairs,2025-09-17,replace soon,0.69,7
HKNQH648,laptop,in repair,hp pavilion,hp,1035,2023-01-31,macos big sur,intel core i5,16 gb,512 gb ssd,2024-01-11,2024-05-03,major repairs,2025-06-05,no replacement needed,0.51,8
RPLD01VO,laptop,in repair,lenovo ideapad,lenovo,1036,2023-03-07,ubuntu 20.04,amd ryzen 5,16 gb,256 gb ssd,2024-01-07,2024-05-20,major repairs,2025-11-20,no replacement needed,0.58,3
B1XWRZUB,laptop,retired,lenovo ideapad,lenovo,1037,2023-05-23,windows 10,amd ryzen 5,16 gb,1 tb hdd,2024-01-20,2024-05-30,no repairs,2025-02-23,replace soon,0.91,8
IRSQ2VBA,laptop,in repair,macbook pro,apple,1038,2023-02-21,windows 10,intel core i5,8 gb,256 gb ssd,2024-02-01,2024-05-18,no repairs,2025-02-16,no replacement needed,0.6,4
WQRTNX1W,laptop,retired,hp pavilion,hp,1039,2023-04-27,ubuntu 20.04,intel core i5,32 gb,256 gb ssd,2024-01-20,2024-05-10,major repairs,2025-02-11,no replacement needed,0.69,2
GDXFM8I4,laptop,in repair,macbook air,apple,1040,2023-04-19,ubuntu 20.04,intel core i5,8 gb,1 tb hdd,2024-01-07,2024-05-04,major repairs,2025-10-19,no replacement needed,1.0,6
2KZ7OOKD,laptop,in repair,macbook pro,apple,1041,2023-03-08,ubuntu 20.04,amd ryzen 5,16 gb,256 gb ssd,2024-01-27,2024-05-12,minor repairs,2025-06-21,replace soon,0.97,4
JUV3763O,laptop,in repair,macbook air,apple,1042,2023-04-20,ubuntu 20.04,amd ryzen 5,8 gb,512 gb ssd,2024-01-25,2024-05-09,minor repairs,2025-10-18,replace soon,0.82,1
IFMR59IH,laptop,assigned,dell inspiron,dell,1043,2023-01-05,windows 10,amd ryzen 5,8 gb,512 gb ssd,2024-01-30,2024-05-25,no repairs,2025-05-25,no replacement needed,0.91,0
Q7VILIMU,laptop,assigned,dell inspiron,dell,1044,2023-04-02,windows 10,intel core i5,16 gb,1 tb hdd,2024-01-07,2024-05-30,no repairs,2025-06-01,no replacement needed,0.69,4
ANKOKATO,laptop,in repair,macbook air,apple,1045,2023-04-01,ubuntu 20.04,intel core i5,8 gb,256 gb ssd,2024-01-19,2024-05-27,no repairs,2025-02-14,replace soon,0.8,1
WUH4N310,laptop,retired,dell inspiron,dell,1046,2023-04-26,ubuntu 20.04,intel core i7,8 gb,512 gb ssd,2024-01-15,2024-05-26,major repairs,2025-04-18,no replacement needed,0.75,7
DKFCEJUS,laptop,retired,macbook pro,apple,1047,2023-03-26,windows 10,amd ryzen 5,32 gb,512 gb ssd,2024-01-22,2024-05-02,minor repairs,2025-08-27,no replacement needed,0.89,1
6WRC4PJV,laptop,retired,macbook air,apple,1048,2023-04-27,ubuntu 20.04,intel core i5,8 gb,1 tb hdd,2024-01-02,2024-05-22,no repairs,2025-07-04,replace soon,0.94,1
XNBPOBU7,laptop,assigned,lenovo ideapad,lenovo,1049,2023-04-01,ubuntu 20.04,intel core i5,16 gb,1 tb hdd,2024-01-03,2024-05-29,no repairs,2025-12-09,replace soon,0.96,5
74H154UR,laptop,retired,macbook air,apple,1050,2023-03-07,windows 10,intel core i5,8 gb,512 gb ssd,2024-01-16,2024-05-02,major repairs,2025-12-16,replace soon,0.8,4
XOAFJ5HD,laptop,assigned,macbook pro,apple,1051,2023-04-15,ubuntu 20.04,intel core i7,32 gb,512 gb ssd,2024-02-01,2024-05-31,major repairs,2025-04-14,replace soon,0.58,0
YHK2AC4C,laptop,assigned,macbook air,apple,1052,2023-05-30,windows 10,intel core i5,8 gb,256 gb ssd,2024-01-11,2024-05-08,minor repairs,2025-03-03,no replacement needed,0.74,4
RPKSWZZN,laptop,in repair,dell inspiron,dell,1053,2023-04-16,ubuntu 20.04,intel core i7,16 gb,1 tb hdd,2024-01-08,2024-05-12,minor repairs,2025-12-15,replace soon,1.0,8
GLHO1L5E,laptop,retired,macbook air,apple,1054,2023-04-21,windows 10,intel core i5,8 gb,1 tb hdd,2024-01-29,2024-05-21,no repairs,2025-04-21,replace soon,0.94,8
R47CB1UA,laptop,in repair,hp pavilion,hp,1055,2023-05-21,windows 10,intel core i5,16 gb,1 tb hdd,2024-01-21,2024-05-15,minor repairs,2025-05-31,replace soon,0.52,1
JGBI0WSI,laptop,retired,lenovo ideapad,lenovo,1056,2023-04-01,ubuntu 20.04,intel core i7,16 gb,512 gb ssd,2024-01-02,2024-05-09,major repairs,2025-02-28,no replacement needed,0.84,5
JEZS8HKI,laptop,assigned,macbook air,apple,1057,2023-01-22,windows 10,amd ryzen 5,8 gb,1 tb hdd,2024-01-16,2024-05-30,minor repairs,2025-08-18,no replacement needed,0.73,0
BO2O3CS4,laptop,in repair,macbook pro,apple,1058,2023-03-02,macos big sur,intel core i7,8 gb,512 gb ssd,2024-01-04,2024-05-28,minor repairs,2025-03-27,no replacement needed,0.53,3
QZGEIYJZ,laptop,retired,hp pavilion,hp,1059,2023-03-18,windows 10,intel core i7,32 gb,256 gb ssd,2024-01-12,2024-06-01,minor repairs,2025-12-09,replace soon,0.57,7
ZVQ1FPIN,laptop,in repair,hp pavilion,hp,1060,2023-04-24,macos big sur,intel core i7,32 gb,512 gb ssd,2024-01-28,2024-05-18,no repairs,2025-04-02,no replacement needed,1.0,2
11GQP1SH,laptop,in repair,lenovo ideapad,lenovo,1061,2023-05-28,windows 10,intel core i7,32 gb,512 gb ssd,2024-01-08,2024-05-30,no repairs,2025-06-05,no replacement needed,0.68,5
KR04FNWT,laptop,in repair,macbook air,apple,1062,2023-04-13,ubuntu 20.04,intel core i5,32 gb,1 tb hdd,2024-01-04,2024-05-17,minor repairs,2025-06-22,no replacement needed,0.81,9
5LSTFZA9,laptop,retired,macbook pro,apple,1063,2023-01-12,ubuntu 20.04,amd ryzen 5,8 gb,512 gb ssd,2024-01-13,2024-05-27,major repairs,2025-01-05,replace soon,0.85,2
AY5QPVG0,laptop,retired,macbook air,apple,1064,2023-01-10,windows 10,intel core i7,16 gb,1 tb hdd,2024-01-22,2024-05-28,no repairs,2025-06-27,no replacement needed,0.85,5
EFE4UGHJ,laptop,assigned,lenovo ideapad,lenovo,1065,2023-03-22,ubuntu 20.04,intel core i7,16 gb,1 tb hdd,2024-01-05,2024-05-20,minor repairs,2025-05-16,no replacement needed,0.92,8
EQLKN260,laptop,in repair,macbook air,apple,1066,2023-05-09,macos big sur,intel core i7,16 gb,256 gb ssd,2024-01-05,2024-05-20,major repairs,2025-07-16,no replacement needed,0.89,6
5JY1H5OA,laptop,assigned,dell inspiron,dell,1067,2023-01-10,windows 10,intel core i7,16 gb,512 gb ssd,2024-01-13,2024-05-07,no repairs,2025-10-28,no replacement needed,0.98,3
71XM93OU,laptop,assigned,dell inspiron,dell,1068,2023-03-11,windows 10,amd ryzen 5,8 gb,256 gb ssd,2024-01-07,2024-05-28,no repairs,2025-12-13,no replacement needed,0.51,7
LUIKK7R4,laptop,assigned,hp pavilion,hp,1069,2023-05-17,macos big sur,intel core i5,16 gb,512 gb ssd,2024-01-09,2024-05-22,no repairs,2025-07-05,replace soon,0.86,7
7AYE4XDA,laptop,assigned,lenovo ideapad,lenovo,1070,2023-03-25,macos big sur,intel core i5,8 gb,256 gb ssd,2024-01-12,2024-05-12,major repairs,2025-06-07,replace soon,0.6,3
EPADVWTX,laptop,retired,hp pavilion,hp,1071,2023-05-17,macos big sur,intel core i5,32 gb,1 tb hdd,2024-01-30,2024-05-06,minor repairs,2025-07-16,replace soon,0.83,4
X2AIQ7I5,laptop,assigned,macbook air,apple,1072,2023-04-12,windows 10,intel core i5,16 gb,256 gb ssd,2024-01-24,2024-06-01,no repairs,2025-09-18,no replacement needed,0.56,6
JKTH3C93,laptop,assigned,macbook air,apple,1073,2023-04-13,ubuntu 20.04,intel core i5,32 gb,256 gb ssd,2024-01-16,2024-05-04,major repairs,2025-06-05,no replacement needed,0.67,1
OVB1RVUU,laptop,in repair,dell inspiron,dell,1074,2023-02-14,macos big sur,amd ryzen 5,8 gb,256 gb ssd,2024-01-24,2024-05-28,major repairs,2025-10-25,replace soon,0.86,2
QCFNUJK0,laptop,retired,macbook air,apple,1075,2023-04-21,macos big sur,amd ryzen 5,32 gb,1 tb hdd,2024-01-01,2024-05-24,no repairs,2025-05-19,no replacement needed,0.6,9
D6YF3PFW,laptop,assigned,dell inspiron,dell,1076,2023-01-30,ubuntu 20.04,intel core i5,8 gb,256 gb ssd,2024-01-26,2024-05-08,major repairs,2025-09-14,replace soon,0.84,1
A161QFBV,laptop,in repair,dell inspiron,dell,1077,2023-01-17,windows 10,amd ryzen 5,32 gb,512 gb ssd,2024-01-24,2024-05-10,minor repairs,2025-09-11,no replacement needed,0.54,1
10G8NOU8,laptop,in repair,macbook pro,apple,1078,2023-04-17,ubuntu 20.04,intel core i5,8 gb,256 gb ssd,2024-01-13,2024-05-13,no repairs,2025-09-09,replace soon,0.54,5
RFWR3M2G,laptop,retired,macbook air,apple,1079,2023-04-30,macos big sur,intel core i7,8 gb,256 gb ssd,2024-01-31,2024-05-11,major repairs,2025-12-18,replace soon,0.81,2
E7AS07ZM,laptop,assigned,macbook pro,apple,1080,2023-05-20,windows 10,intel core i7,32 gb,512 gb ssd,2024-01-28,2024-05-15,major repairs,2025-10-19,no replacement needed,0.97,9
7NC4ZS9L,laptop,in repair,hp pavilion,hp,1081,2023-06-01,macos big sur,intel core i7,8 gb,1 tb hdd,2024-01-06,2024-05-30,no repairs,2025-04-01,replace soon,0.67,3
QV0V7NIG,laptop,in repair,macbook air,apple,1082,2023-03-25,macos big sur,amd ryzen 5,8 gb,256 gb ssd,2024-01-02,2024-05-27,major repairs,2025-08-23,no replacement needed,0.56,6
XHMNH5NU,laptop,retired,lenovo ideapad,lenovo,1083,2023-02-17,windows 10,amd ryzen 5,32 gb,1 tb hdd,2024-01-23,2024-05-31,minor repairs,2025-08-24,no replacement needed,0.65,6
HTFJV68V,laptop,retired,macbook pro,apple,1084,2023-01-28,ubuntu 20.04,intel core i7,8 gb,512 gb ssd,2024-01-05,2024-05-13,minor repairs,2025-04-03,no replacement needed,0.57,8
VIDG9KOX,laptop,in repair,hp pavilion,hp,1085,2023-01-30,windows 10,intel core i5,16 gb,512 gb ssd,2024-01-24,2024-05-15,no repairs,2025-08-24,replace soon,0.98,7
UO307BH6,laptop,assigned,macbook air,apple,1086,2023-03-01,macos big sur,amd ryzen 5,16 gb,1 tb hdd,2024-01-18,2024-05-12,minor repairs,2025-04-24,no replacement needed,0.9,5
UZAMBC1F,laptop,assigned,macbook pro,apple,1087,2023-01-22,windows 10,intel core i7,8 gb,512 gb ssd,2024-01-22,2024-05-29,major repairs,2025-08-06,replace soon,0.62,5
8E7B7GVF,laptop,retired,hp pavilion,hp,1088,2023-03-10,windows 10,amd ryzen 5,16 gb,1 tb hdd,2024-01-08,2024-05-31,no repairs,2025-09-30,replace soon,1.0,6
9XNOF42O,laptop,in repair,lenovo ideapad,lenovo,1089,2023-04-23,windows 10,intel core i7,8 gb,1 tb hdd,2024-01-18,2024-05-19,minor repairs,2025-02-13,no replacement needed,0.9,0
4AX0DOZQ,laptop,assigned,lenovo ideapad,lenovo,1090,2023-03-25,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-01-19,2024-06-01,no repairs,2025-07-08,no replacement needed,0.95,2
W46H19UY,laptop,retired,macbook pro,apple,1091,2023-04-29,macos big sur,intel core i7,8 gb,256 gb ssd,2024-01-08,2024-05-23,no repairs,2025-12-02,no replacement needed,0.9,9
8WZIWKSN,laptop,retired,macbook air,apple,1092,2023-01-18,macos big sur,intel core i5,32 gb,256 gb ssd,2024-01-19,2024-05-23,no repairs,2025-10-13,replace soon,0.53,6
8R6C12AT,laptop,assigned,macbook air,apple,1093,2023-02-13,ubuntu 20.04,amd ryzen 5,32 gb,512 gb ssd,2024-01-26,2024-05-11,no repairs,2025-03-13,no replacement needed,0.95,1
BMI8COAN,laptop,retired,macbook air,apple,1094,2023-04-05,macos big sur,intel core i5,32 gb,512 gb ssd,2024-01-08,2024-05-31,no repairs,2025-05-01,replace soon,0.74,2
3N9OARHE,laptop,assigned,macbook pro,apple,1095,2023-02-15,ubuntu 20.04,amd ryzen 5,8 gb,512 gb ssd,2024-01-27,2024-05-17,no repairs,2025-04-30,no replacement needed,0.94,7
E0BY7YUX,laptop,in repair,macbook pro,apple,1096,2023-02-02,macos big sur,amd ryzen 5,32 gb,1 tb hdd,2024-01-05,2024-05-30,major repairs,2025-10-26,no replacement needed,0.69,5
AJ2FXVST,laptop,in repair,hp pavilion,hp,1097,2023-01-23,windows 10,amd ryzen 5,16 gb,1 tb hdd,2024-01-22,2024-05-13,major repairs,2025-10-31,no replacement needed,0.66,9
Z0QU0GBV,laptop,in repair,macbook air,apple,1098,2023-01-28,macos big sur,intel core i5,8 gb,256 gb ssd,2024-01-07,2024-06-01,no repairs,2025-01-05,no replacement needed,0.58,3
UQV9B4UL,laptop,in repair,hp pavilion,hp,1099,2023-03-23,macos big sur,amd ryzen 5,32 gb,1 tb hdd,2024-01-19,2024-05-06,major repairs,2025-07-04,replace soon,0.52,8
V2UKTYCC,laptop,in repair,macbook pro,apple,1100,2023-03-11,macos big sur,amd ryzen 5,16 gb,1 tb hdd,2024-01-18,2024-05-24,major repairs,2025-05-28,no replacement needed,0.99,8
N87MD6RP,laptop,assigned,macbook pro,apple,1101,2023-01-11,windows 10,amd ryzen 5,16 gb,1 tb hdd,2024-01-23,2024-05-13,minor repairs,2025-05-29,no replacement needed,0.75,5
LPKOFBCD,laptop,assigned,macbook pro,apple,1102,2023-04-22,windows 10,intel core i7,8 gb,512 gb ssd,2024-01-10,2024-05-01,major repairs,2025-05-14,replace soon,0.92,2
R6S98FAX,laptop,in repair,macbook pro,apple,1103,2023-02-03,windows 10,intel core i7,32 gb,1 tb hdd,2024-01-25,2024-05-19,major repairs,2025-06-16,no replacement needed,0.94,9
7KNNEDR1,laptop,assigned,dell inspiron,dell,1104,2023-04-09,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-30,2024-05-05,major repairs,2025-05-06,no replacement needed,0.73,7
V5WCP2CT,laptop,assigned,hp pavilion,hp,1105,2023-05-13,macos big sur,intel core i5,16 gb,1 tb hdd,2024-01-28,2024-05-31,no repairs,2025-12-14,replace soon,0.62,5
4DEN4NB0,laptop,assigned,lenovo ideapad,lenovo,1106,2023-02-12,windows 10,intel core i5,32 gb,1 tb hdd,2024-01-04,2024-05-07,minor repairs,2025-05-20,no replacement needed,0.52,7
X1WNKBP3,laptop,assigned,lenovo ideapad,lenovo,1107,2023-03-16,windows 10,intel core i5,8 gb,1 tb hdd,2024-01-03,2024-05-23,major repairs,2025-01-10,replace soon,0.62,0
7A1EKTA7,laptop,in repair,lenovo ideapad,lenovo,1108,2023-05-07,windows 10,intel core i5,32 gb,256 gb ssd,2024-01-16,2024-05-11,major repairs,2025-08-01,no replacement needed,0.72,3
LMQDV9SE,laptop,in repair,macbook air,apple,1109,2023-05-30,windows 10,intel core i7,8 gb,256 gb ssd,2024-01-07,2024-05-26,no repairs,2025-03-25,replace soon,0.68,7
